"Rating","Date","Title","Content","Reviewer","Verified","Brand Response"
"4","14/04/2024","Bien","Je recommande ce produit C bien comme quantité /prix","Jamila, Tunisia","Yes","Bonjour madame Jamila,  Nous vous remercions d'avoir partagé votre avis avec nous,  Nous sommes ravis de savoir que vous êtes satisfaite de notre CHAUSSURES DE RUNNING JOG FLOW 100.1.  Au plaisir de vous accueillir prochainement dans nos allées.  Passez une excellente journée.  Oussama Conseiller Service Client"
"4","12/04/2024","Avis favorable","KALENJI CHAUSSURES DE RUNNING HOMME JOGFLOW 100.1 GRIS ORANGE , souple et agréable a porter. J'espère qu'il sera résistant et dégage pas de mauvaise odeur.","Mahdi, Tunisia","Yes","Bonjour Mahdi,  Nous vous remercions pour votre retour positif  Nous sommes ravis que vous ayez trouvé notre produit à la hauteur de vos attentes  Votre satisfaction est notre priorité, et nous nous efforçons continuellement d'offrir les meilleurs produits à nos clients  Merci encore pour votre soutien  Rawen Conseillère Service Client"
"4","08/04/2024","bien","Bon prooduit","ramzi, Tunisia","Yes","Bonsoir Ramzi, Je vous remercie pour votre avis Je suis ravi de constater que notre produit vous a apporté satisfaction. Passez une belle soirée    Sportivement Hassine Conseiller Service Client"
"5","08/04/2024","bien","bonne qualité","Nessib, Tunisia","Yes","Bonsoir,  Merci pour votre retour d'expérience,  Nous sommes ravis de votre satisfaction envers notre CHAUSSURES DE RUNNING HOMME JOGFLOW 100.1 NOIR GRIS  Passez une excellente soirée.  Oussama Conseiller Service Client"
"5","03/04/2024","Parfait","Convient à l'activité demandée, souple et léger","Amir, Tunisia","Yes","Bonjour Amir,  Nous vous remercions pour votre retour positif  Nous sommes ravis que vous ayez trouvé notre produit à la hauteur de vos attentes  Votre satisfaction est notre priorité, et nous nous efforçons continuellement d'offrir les meilleurs produits à nos clients  Merci encore pour votre soutien  Rawen Conseillère Service Client"
"5","19/03/2024","Jolie","Bonne qualité","Taha, Tunisia","Yes","Bonjour Taha,  merci infiniment pour votre avis.  Votre feedback est d'une grande valeur pour nous.  Excellente journée à vous, à très vite  Marwen Sportivement Service Client"
"5","15/03/2024","extremely light","i love it ! very light and comfortable the style is both fit for sports and everyday use","Ahmed Yassin, Tunisia","Yes","Bonjour Ahmed,  je vous remercie pour votre retour d'expérience.  Nous sommes ravis que nos produits vous plaisent.  Profitez bien de vos achats et à bientôt  Bonne journée.  Rawen Conseillère Service Client"
"1","13/03/2024","وجعلي ساقي","وجعلي ساقي","Med ali, Tunisia","Yes","Bonjour Med Ali,   Nous vous remercions d'avoir partagé votre retour d'expérience avec nous, et nous sommes désolés d'apprendre que l'article que vous avez acheté ne répondait pas à vos attentes en termes de qualité. Nous nous excusons pour tout inconvénient que cela a pu vous causer.  Pour résoudre ce problème, nous vous encourageons vivement à vous rendre dans le magasin le plus proche de chez vous.  Notre équipe d'experts sur place se tiendra à votre disposition pour évaluer l'état de votre produit. Si celui-ci est enregistré dans votre compte Decathlon et est en parfait état, vous aurez la possibilité d'effectuer un échange ou un remboursement, après la vérification par l'expert.  Nous sommes là pour vous aider à trouver une solution satisfaisante et à garantir votre entière satisfaction.  Bonne journée   Rawen Conseillère Service Client"
"5","10/03/2024","À recommander","Ce type de chaussures aide à pratiquer le sport. Il est bénéfique aussi pour soulager les maux de dos .","aloui, Tunisia","Yes","Bonjour, merci pour votre retour d'expérience.  Nous sommes ravis que nos produits aient été à la hauteur de vos attentes.  Profitez bien de vos achats et à bientôt  Bonne journée  Asma Conseillère service client"
"5","11/02/2024","Excellent produit","Excellent produit très confortable et pratique","Mazen, Tunisia","Yes","Bonjour Mazen,  Nous vous remercions vivement d'avoir partagé votre avis avec nous.  Nous sommes ravis d'apprendre que vous êtes satisfait de notre CHAUSSURES DE RUNNING HOMME JOGFLOW 100.1  Passez une excellente journée.  Rawen Conseillère Service Client"
"5","29/01/2024","Excellent produit","Confort","Yousri, Tunisia","Yes","Bonjour Yousri,  Merci pour votre avis positif sur cet article !  En espérant de vous revoir bientôt dans notre DECATHLON à Bollène ;)  Sportivement,  Manon"
"4","17/01/2024","RAS","RAS","Moez, Tunisia","Yes","Bonjour Moez,  Merci infiniment pour votre retour.  Votre avis est précieux pour nous.  Vous êtes toujours le bienvenu.  Bonne journée  Rawen Conseillère Service Client"
"5","24/12/2023","Toujours au rendez-vous","Merci pour la qualité au même temps on veut des promotions puisque on achète souvent","Kouki, Tunisia","Yes","Bonsoir,  Nous vous remercions énormément pour votre avis.  Nous sommes ravis de savoir que nos produits ont été à la hauteur de vos attentes.  Encore merci pour votre confiance en notre produit.  Nous prenons en considération vos commentaires  Excellente soirée à vous.  Rawen Conseillère Service Client"
"3","23/12/2023","A good one","Recommended","Ebtihel, Tunisia","Yes","Bonsoir Ebtihel,  je vous remercie pour votre retour.  Votre feedback est d'une grande valeur pour nous, car il nous aide à améliorer nos produits.  Je vous souhaite une excellente soirée.  Marwen Sportivement Service Client"
"4","30/11/2023","bon affaire","faite nous plus de promo svp...le pouvoir d achat se dégrade énormément","Seif Allah, Tunisia","Yes","Bonjour,  Je vous remercie pour votre retour d'expérience. Nous allons faire de notre mieux pour vous satisfaire.  Nous sommes déterminés à offrir à nos clients un excellent rapport qualité-prix.  À bientôt pour une prochaine visite.    Oussama Conseiller Service Client"
"5","23/11/2023","Satisfait","Top","Marwa, Tunisia","Yes","Bonjour Mrwa,  Merci d'avoir pris le temps de nous partager votre expérience et merci pour ce retour au TOP  Nous sommes ravis que la CHAUSSURE DE RUNNING HOMME JOGFLOW 100.1 NOIR GRIS ait été à la hauteur de vos attentes.  Au plaisir de vous accueillir à nouveau  A très bientôt :)  Rawen Conseillère Service Client"
"4","13/11/2023","Très bon","Très bon","M. Z, Tunisia","Yes","Bonjour,  Nous vous remercions infiniment pour votre avis.  Nous sommes ravis d'apprendre que vous avez trouvé notre produit très bien et que vous le recommandez.  Encore merci pour votre confiance en notre produit.  Votre feedback est d'une grande valeur pour nous, car il nous aide à améliorer nos produits.  Je vous souhaite une excellente journée.  Marwen Sportivement Service Client"
"3","07/11/2023","merci","merci","Be henda, Tunisia","Yes","Bonjour,  je vous remercie pour votre retour d'expérience  J'aimerais comprendre pourquoi vous n'avez pas recommandé ce produit?  Votre réponse nous aidera à identifier les points faibles de nos produits et à les améliorer pour mieux répondre à vos besoins à l'avenir.  Au plaisir de vous revoir prochainement dans nos allées  Bonne journée  Asma Conseillère service client"
"4","20/10/2023","Favorable","Bon article,je suis satisfait","Taha, Tunisia","Yes","Bonsoir Taha,  je vous remercie infiniment pour votre retour.  Votre plaisir avec notre produit est une véritable source de satisfaction.  Je vous souhaite une excellente soirée.   Marwen Sportivement Service Client"
"4","20/10/2023","Acceptable et assez confortable","Accroître le champs de choix","Rochdi, Tunisia","Yes","Bonjour Mr.Rochdi,  merci pour votre retour d'expérience. Profitez bien de vos achats  Vous êtes le bienvenu Bonne journée  Asma Conseillère service client"
"5","16/10/2023","Odeur","Il provoque vite une mauvaise odeur au contraire les autres marques jamais j ai eu ce problème","Asta, Tunisia","Yes","Bonsoir Asta,  tout d'abord je vous remercie pour retour.  Si la paire de chaussures que vous avez trouvée ne répond pas à vos attentes et est encore neuve, je vous invite à visiter notre magasin  pour évaluer le problème et effectuer un échange contre un modèle qui vous satisfera pleinement.  Excellente soirée à vous :)      Marwen Sportivement Service Client"
"4","18/09/2023","Bon produit","❤️💯","Omar, Tunisia","Yes","Bonjour Omar, Nous sommes ravis d'apprendre que vous êtes satisfait de notre produit ! Votre satisfaction est notre priorité et nous sommes heureux d'avoir pu répondre à vos attentes. Nous sommes là pour vous offrir le meilleur service possible. Encore merci pour votre confiance en notre produit ! Bonne journée !  Dorsaf Conseillère service client"
"5","11/09/2023","Excellent produit","Excellent produit","Twihri, Tunisia","Yes","Bonjour Twihri, Merci infiniment pour votre retour positif ! Nous sommes ravis que vous ayez apprécié notre produit. Votre soutien et votre confiance nous encouragent à continuer à fournir des produits de qualité. Nous sommes impatients de vous servir à nouveau à l'avenir. Bonne journée !  Dorsaf Conseillère service client"
"5","12/06/2023","Très bonne qualité","Ravie de prendre léger et simple je recommande fortement","Wahid, Tunisia","Yes","Bonjour, je vous remercie pour ce retour au Top et pour cette super note 🙂, je vous souhaite une bonne journée et à très bientôt  Meriam Sportif satisfait c'est mon métier"
"4","12/06/2023","Bon","Satisfait","Mohsen, Tunisia","Yes","Bonjour, je vous remercie pour ce retour au Top et pour cette super note 🙂, je vous souhaite une bonne journée et à très bientôt  Meriam Sportif satisfait c'est mon métier"
"5","15/05/2025","N/A","Buena calidad precio","Bartolomé, Spain","Yes","No response"
"5","15/05/2025","N/A","Tek kelimeyle Decathlon kalitesi","ali, Türkiye","Yes","No response"
"5","15/05/2025","N/A","Muy cómodas, buena calidad precio!!","Manuel Jesús, Spain","Yes","No response"
"5","15/05/2025","N/A","Best Shoes for running 1600m/dy","Shubhendra Singh, India","Yes","No response"
"5","15/05/2025","N/A","Excellent product","Dhanu, India","Yes","No response"
"5","15/05/2025","N/A","Szuper!","Violetta, Hungary","Yes","No response"
"5","15/05/2025","N/A","Gayet güzel ayakkabı fiyat performans","eray, Türkiye","Yes","No response"
"5","15/05/2025","N/A","小孩說穿起來非常舒服，柔軟","chia, Taiwan","Yes","No response"
"5","15/05/2025","N/A","Good","Pinkal, India","Yes","No response"
"5","14/05/2025","N/A","Muy comodos poco pesados y no resbalan","Isabel paola, Spain","Yes","No response"
"5","14/05/2025","N/A","Confortable","BERNARD, France","Yes","No response"
"5","14/05/2025","tam istediğim gibi","günlük yürüyüşler için bire bir","Abdurrahman, Türkiye","Yes","No response"
"5","14/05/2025","güzel","koşu için aldım güzel","Mustafa, Türkiye","Yes","No response"
"5","14/05/2025","N/A","Me las compré para volver a correr después de un largo parón, pero esta vez me interesaba tomármelo en serio y puedo asegurar que son mejor de lo que dicen hago más kilómetros de lo recomendados con ellas a la semana y no tengo ningún tipo de dolor en los pies son muy cómodas","Joseba, Spain","Yes","No response"
"5","14/05/2025","N/A","Bon design classique et très bon confort pour une ""chaussure de ville"". La languette est un peu molle et doit être bien positionnée à chaque fois pour éviter qu'elle ne se plie sur les côtés.","ARNAUD, France","Yes","No response"
"5","14/05/2025","N/A","Futáshoz és általános edzőcipőnek (szökdelés, gimnasztika) is tökéletes. Stabil és biztonságos a széles talpa miatt.","Bence, Hungary","Yes","No response"
"1","14/05/2025","Very bed condition","Low quality","AMIT, India","Yes","No response"
"5","14/05/2025","N/A","Szuper","Viktor, Hungary","Yes","No response"
"5","13/05/2025","Top!","Utilisé pour Aquagym et Fitness! Fait bien son travail!","Mathieu, France","Yes","No response"
"4","13/05/2025","N/A","Confortable pour la marche ,légère","Jacques, France","Yes","No response"
"4","13/05/2025","N/A","Bon rapport qualité/ prix. Très agréable pour effectuer des petites sortie de marche.","serge, France","Yes","No response"
"5","13/05/2025","N/A","Wygodne. Lekkie.","PIOTR, Poland","Yes","No response"
"5","13/05/2025","Bardzo dobre buty za tę cenę","Bardzo dobre buty w tej półce cenowej, wygodne jak na początek, drop mógłby być mniejszy dla początkujących, ale nie ma co narzekać. Zobaczymy ile czasu wytrzymają. Jeśli jeden sezon da radę to i tak cena jest ok L","Wojciech, Poland","Yes","No response"
"5","13/05/2025","Zapatillas deportivas","Buenas, confortables","Juan Carlos, Spain","Yes","No response"
"5","13/05/2025","N/A","fais le job correctement . allège vraiment la foulée","Robert, France","Yes","No response"
"5","13/05/2025","N/A","Good Product","Param, India","Yes","No response"
"5","13/05/2025","N/A","Good","Amit, India","Yes","No response"
"4","13/05/2025","N/A","It should be more comfortable.","Bhirgu, India","Yes","No response"
"5","13/05/2025","TAM BİR FİYAT PERFORMANS","Fiyat performans ürünü olarak görmek, yanlış olur. Bu fiyata inanılmaz bir ayakkabı diyecebilirim","İsmail, Türkiye","Yes","No response"
"5","13/05/2025","N/A","Comfortable, good","VG, United Kingdom","Yes","No response"
"5","13/05/2025","comodissimo","Leggero, comodo e bello","Amir hossein, Italy","Yes","No response"
"5","13/05/2025","N/A","Good Shoe","PRINCE, India","Yes","No response"
"5","13/05/2025","N/A","Parfait","Quentin, France","Yes","No response"
"5","13/05/2025","Buon rapporto qualità prezzo","Buona scarpa per chi inizia a correre senza fare troppi km","Giorgio, Italy","Yes","No response"
"1","13/05/2025","N/A","Waisted of money. Sole fixing is very bad.","vikram, India","Yes","No response"
"3","13/05/2025","N/A","Leg and foot pain","Sudharsan, India","Yes","No response"
"4","13/05/2025","N/A","Good & Excellent performance 👏","Subin, India","Yes","No response"
"5","12/05/2025","N/A","Net wat ik nodig had om mij te verplaatsen, zonder mijn jogging schoenen nodig te hebben !","Guy, Belgium","Yes","No response"
"5","12/05/2025","N/A",".","riyadh, Belgium","Yes","No response"
"5","12/05/2025","N/A","Leggerissima","luana, Italy","Yes","No response"
"4","12/05/2025","N/A","Buon prodotto","Riccardo, Italy","Yes","No response"
"5","12/05/2025","N/A","Ottime","Bocchetti, Italy","Yes","No response"
"5","12/05/2025","N/A","Funzionali","Mary, Italy","Yes","No response"
"5","12/05/2025","bardzo dobry produkt","W tej cenie chyba najlepsze buty","Mateusz, Poland","Yes","No response"
"5","12/05/2025","Ottimo prodotto","scarpa leggera e durevole nel tempo","Marco, Italy","Yes","No response"
"5","12/05/2025","N/A","Nice shoes and very comfortable for regular use","Dinesh, India","Yes","No response"
"4","12/05/2025","N/A","Grip is not sustainable","Tanwar, India","Yes","No response"
"4","12/05/2025","N/A","Pour le prix c'est une très bonne chaussures. Avec un amorti durable dans le temps, malgré une utilisation quotidienne.","Rd, France","Yes","No response"
"5","12/05/2025","N/A","Fantastik","Elham, Austria","Yes","No response"
"5","12/05/2025","N/A","Много удобни и добри за бягане.","Георги, Bulgaria","Yes","No response"
"4","12/05/2025","Good","Good","vikas, India","Yes","No response"
"5","12/05/2025","Wonderful","Good for running very comfortable","SINGHA, India","Yes","No response"
"1","12/05/2025","Quality Of Product Is Not Satisfactory.","The product teare within five month. The cloth quality is not good. Required use better quality.","Kumar, India","Yes","No response"
"5","11/05/2025","Chaussures de très bonne qualité","Ces chaussures sont vraiment superbes !","Quentin, France","Yes","No response"
"5","11/05/2025","N/A","Lehká, kvalitní obuv","Barbora, Czechia","Yes","No response"
"5","10/05/2025","N/A","chaussure de sport légère et grande taille","philippe, France","Yes","No response"
"4","10/05/2025","N/A","Buone scarpe per principianti","Paola, Italy","Yes","No response"
"5","10/05/2025","N/A","Super buty jak na tę cenę. Nadają się do wszystkiego, a i w bieganiu nie ustępują droższym modelom renomowanych marek. Jestem pozytywnie zaskoczony.","Mateusz, Poland","Yes","No response"
"4","10/05/2025","ok","ok","Agnieszka, Poland","Yes","No response"
"5","10/05/2025","N/A","Very comfortable great price","Jeffrey, United Kingdom","Yes","No response"
"5","10/05/2025","basket","Légere et pratique, mon fils est content. Je recommande","nadia, France","Yes","No response"
"5","09/05/2025","Ténis","Leve, confortável","Bárbara, Portugal","Yes","No response"
"5","09/05/2025","Parfaites","Confortables et légères, j'ai une paire pour les petites marches et une paire pour une utilisation sur tapis","Natacha, France","Yes","No response"
"5","09/05/2025","N/A","Comode,ottima qualità prezzo","Mattia, Italy","Yes","No response"
"5","09/05/2025","N/A","Wszystko ok","Marek, Poland","Yes","No response"
"5","09/05/2025","N/A","Cómodos livianos y duraderos","Carlos Andres, Spain","Yes","No response"
"5","09/05/2025","N/A","Good","Pinkal, India","Yes","No response"
"4","09/05/2025","N/A","Value for money","manjunath, India","Yes","No response"
"5","09/05/2025","N/A","Nice comfort shoes, apart from walking sometimes i wear it to office casually","Krishna, India","Yes","No response"
"5","09/05/2025","N/A","Outstanding. Everyone is loving it. I've recommended to my family and friends to buy this shoe.","Pramit, India","Yes","No response"
"4","09/05/2025","N/A","ottimo prezzo qualità","DONATELLA, Italy","Yes","No response"
"2","09/05/2025","N/A","These have now been retired in lass than a few month developed a tear in the front","Neville, United Kingdom","Yes","Hello Neville, thanks for taking the time to let us know about your experience. We're sorry to hear it wasn't quite up to scratch. We’ll certainly take your feedback on board to see how we can improve things for everyone."
"1","09/05/2025","N/A","Very poor quality","Satyam, India","Yes","No response"
"5","09/05/2025","N/A","Comozi și ușori","Roxana, Romania","Yes","No response"
"4","09/05/2025","N/A","Design looking good and comfortable","Rohit, India","Yes","No response"
"5","09/05/2025","N/A","Comfortable for jogging.","Pramod, India","Yes","No response"
"5","09/05/2025","N/A","Много са удобни и леки","Aleksandar, Bulgaria","Yes","No response"
"5","09/05/2025","N/A","Nice design","narendar, India","Yes","No response"
"2","09/05/2025","N/A","Not worth the money","Bhupendra, India","Yes","No response"
"5","09/05/2025","N/A","ITS GOOD TO WORKOUT SHOES","Umasankar, India","Yes","No response"
"4","09/05/2025","N/A","May be we can have some more colour","Bharath, India","Yes","No response"
"5","09/05/2025","N/A","the shoe is so comfortable","Firdaus, Malaysia","Yes","No response"
"5","08/05/2025","çok kullanışlı çok rahat","tavsiye ederim","Fazli, Türkiye","Yes","No response"
